,feature_id,latitude,longitude,easting,northing,utm_epsg,SoVI,pop_d_c
571,571,50.9677503,-114.1358629,701097.3701,5650144.454,32611,Low,Moderate
572,572,50.97024607,-114.1366834,701028.9966,5650419.682,32611,Low,Low
573,573,50.97185572,-114.1318001,701364.8217,5650611.965,32611,Low,Moderate
574,574,50.9681396,-114.129566,701537.7334,5650204.932,32611,Low,Low
575,575,50.97163256,-114.1270855,701696.7248,5650600.045,32611,Low,Low
576,576,50.97133157,-114.1214633,702092.676,5650581.983,32611,Low,Moderate
577,577,50.98673199,-114.1475471,700195.4504,5652222.929,32611,Low,Low
578,578,50.97327991,-114.1379526,700926.8019,5650753.508,32611,Moderate,Moderate
579,579,51.04418834,-114.1822003,697519.3798,5658517.133,32611,Low,Low
580,580,51.04333464,-114.1682132,698503.3207,5658459.836,32611,Low,Moderate
581,581,51.08551666,-114.2021548,695946.1977,5663058.562,32611,High,Moderate
582,582,51.08781556,-114.2021924,695933.8463,5663314.049,32611,High,Moderate
583,583,50.95830414,-114.1150223,702601.4939,5649151.352,32611,Moderate,Low
584,584,50.95785199,-114.1137304,702694.1714,5649104.635,32611,Moderate,Low
585,585,50.96576035,-114.0986151,703720.8722,5650025.505,32611,Moderate,Low
586,586,50.97100469,-114.1037922,703334.515,5650594.243,32611,Moderate,Moderate
587,587,51.04058461,-114.1379479,700636.3873,5658236.126,32611,High,Low
588,588,51.03950617,-114.1299682,701200.3546,5658138.003,32611,Moderate,Moderate
589,589,51.04045115,-114.1091577,702654.8657,5658300.129,32611,Moderate,Low
590,590,51.04251534,-114.1067592,702813.9638,5658536.22,32611,High,Moderate
591,591,51.04570158,-114.1042456,702976.2008,5658897.377,32611,High,Low
592,592,51.04976731,-114.1074982,702730.488,5659340.422,32611,Low,Low
593,593,51.05169438,-114.1089974,702617.0154,5659550.537,32611,Low,Moderate
594,594,51.05383352,-114.1130332,702324.887,5659777.258,32611,Low,Moderate
595,595,51.05628321,-114.1142239,702230.7771,5660046.331,32611,Low,Moderate
596,596,51.05863706,-114.1125686,702336.4957,5660312.569,32611,Low,Moderate
597,597,51.05616692,-114.1077507,702684.8374,5660051.204,32611,Low,Moderate
598,598,51.05320608,-114.1196986,701860.5722,5659689.205,32611,Low,Moderate
599,599,51.04967303,-114.1274007,701336.2133,5659275.326,32611,Moderate,Low
600,600,51.04735182,-114.1360036,700743.3893,5658993.774,32611,Moderate,Moderate
601,601,51.05289461,-114.0567551,706272.4355,5659829.049,32611,Moderate,Moderate
602,602,51.0567595,-114.0600302,706025.781,5660249.553,32611,Moderate,Moderate
603,603,51.05527648,-114.0559786,706316.252,5660096.027,32611,Moderate,High
